utt_id,row_id,index,stageIds,gameId,createdAt,targetNum,repNum,trialNum,text,playerId,target,role,countCorrect,speaker,submitted
33,L5fZHWop3pFEfw74j,8,2KE92NuALuuByDJ9W_vk8H4DwyoqojBRLFR,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,8,0,8,tail,XzSxf5dbkTQbAySyn,/experiment/tangram_G.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
34,L5fZHWop3pFEfw74j,8,2KE92NuALuuByDJ9W_vk8H4DwyoqojBRLFR,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,8,0,8,like a robe,XzSxf5dbkTQbAySyn,/experiment/tangram_G.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
35,L5fZHWop3pFEfw74j,8,2KE92NuALuuByDJ9W_vk8H4DwyoqojBRLFR,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,8,0,8,so no arm to the left?,TmGhWCgqKsPPuwW7m,/experiment/tangram_G.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
36,L5fZHWop3pFEfw74j,8,2KE92NuALuuByDJ9W_vk8H4DwyoqojBRLFR,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,8,0,8,no,XzSxf5dbkTQbAySyn,/experiment/tangram_G.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
37,L5fZHWop3pFEfw74j,8,2KE92NuALuuByDJ9W_vk8H4DwyoqojBRLFR,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,8,0,8,head tilted back to left,XzSxf5dbkTQbAySyn,/experiment/tangram_G.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
38,uWrzgJrFwdMrPEiTz,9,uxxq2YwhqGcCcPidn_yn2ahBvvEgZmpYChf,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,9,0,9,has its arms raised above its head,XzSxf5dbkTQbAySyn,/experiment/tangram_C.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
39,uWrzgJrFwdMrPEiTz,9,uxxq2YwhqGcCcPidn_yn2ahBvvEgZmpYChf,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,9,0,9,no legs at all,XzSxf5dbkTQbAySyn,/experiment/tangram_C.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
40,uWrzgJrFwdMrPEiTz,9,uxxq2YwhqGcCcPidn_yn2ahBvvEgZmpYChf,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,9,0,9,looks like he is complaining?,TmGhWCgqKsPPuwW7m,/experiment/tangram_C.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
41,uWrzgJrFwdMrPEiTz,9,uxxq2YwhqGcCcPidn_yn2ahBvvEgZmpYChf,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,9,0,9,yeah,XzSxf5dbkTQbAySyn,/experiment/tangram_C.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
42,36TFbcP4F8J6EWyqi,10,syFi8SkvgmBYdoRtg_iag93cYiE82eBhygm,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,10,0,10,just a head and body with small piece of leg sticking out to the right,XzSxf5dbkTQbAySyn,/experiment/tangram_H.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
43,hSAKgnzWvA9SqnuRn,11,SofM7x499LGhe5dYq_ZRLrFxyGCLMYfaurP,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,11,0,11,ok so there is a foot and an arm out to theleft; and then a trianglular detached looking arm out to the right,XzSxf5dbkTQbAySyn,/experiment/tangram_B.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
44,hSAKgnzWvA9SqnuRn,11,SofM7x499LGhe5dYq_ZRLrFxyGCLMYfaurP,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,11,0,11,looks like they are kneeling,XzSxf5dbkTQbAySyn,/experiment/tangram_B.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
45,WoNBL4ZwuqxQRoSCL,12,sSEuJF24xhPnuRziX_zDRBjpo6gcrGY9BRd,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,1,12,like our first one; crouching down with arm facing right,XzSxf5dbkTQbAySyn,/experiment/tangram_L.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
46,WoNBL4ZwuqxQRoSCL,12,sSEuJF24xhPnuRziX_zDRBjpo6gcrGY9BRd,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,1,12,straight back; knees bent to right,XzSxf5dbkTQbAySyn,/experiment/tangram_L.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
47,WoNBL4ZwuqxQRoSCL,12,sSEuJF24xhPnuRziX_zDRBjpo6gcrGY9BRd,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,1,12,no tail pointing up right,TmGhWCgqKsPPuwW7m,/experiment/tangram_L.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
48,WoNBL4ZwuqxQRoSCL,12,sSEuJF24xhPnuRziX_zDRBjpo6gcrGY9BRd,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,1,12,no,XzSxf5dbkTQbAySyn,/experiment/tangram_L.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
49,3vLhjYpyeFscnMur9,13,jzSiTiX3qRuCHP4LP_EuBTfQa4vY7bsjxYf,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,1,1,13,arms up like they're complaining,XzSxf5dbkTQbAySyn,/experiment/tangram_C.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
50,NLTk3ySkPGS7HAsfx,14,JpEc3u8ubSfTiGnSq_CCSE6a6PqsJinxDPJ,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,2,1,14,leg sticking out to the right like a figure skater,XzSxf5dbkTQbAySyn,/experiment/tangram_I.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
51,NLTk3ySkPGS7HAsfx,14,JpEc3u8ubSfTiGnSq_CCSE6a6PqsJinxDPJ,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,2,1,14,both arms facing left,XzSxf5dbkTQbAySyn,/experiment/tangram_I.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
52,aPJJJDK2h65sdbjcn,15,dmwtAJ4hSCF9Qj58K_zdPGBpoPLGS9wRgAG,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,3,1,15,arm and leg sticking out to right; long robe sticking out to left,XzSxf5dbkTQbAySyn,/experiment/tangram_G.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
53,aPJJJDK2h65sdbjcn,15,dmwtAJ4hSCF9Qj58K_zdPGBpoPLGS9wRgAG,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,3,1,15,head tilted to the left,TmGhWCgqKsPPuwW7m,/experiment/tangram_G.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
54,aPJJJDK2h65sdbjcn,15,dmwtAJ4hSCF9Qj58K_zdPGBpoPLGS9wRgAG,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,3,1,15,?,TmGhWCgqKsPPuwW7m,/experiment/tangram_G.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
55,aPJJJDK2h65sdbjcn,15,dmwtAJ4hSCF9Qj58K_zdPGBpoPLGS9wRgAG,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,3,1,15,yeah,XzSxf5dbkTQbAySyn,/experiment/tangram_G.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
56,qXMG5W5KDXsryhSnG,16,An26q3qQWFGa96sDh_mg8Si5LSGbftQJbJG,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,4,1,16,sat down; triangular body; feet pointing right and two things sticking out of head,XzSxf5dbkTQbAySyn,/experiment/tangram_E.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
57,6NsrGN8Gq5dQcuEWE,17,7Asx72k5svExkrG3n_sRbiiLRkik58gPNxC,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,5,1,17,kneeling down; both arms out in opposite directions; the right arm looks a bit detached,XzSxf5dbkTQbAySyn,/experiment/tangram_B.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
58,6NsrGN8Gq5dQcuEWE,17,7Asx72k5svExkrG3n_sRbiiLRkik58gPNxC,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,5,1,17,leg sticking out to left,XzSxf5dbkTQbAySyn,/experiment/tangram_B.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
59,MdDNJJYpbb9N43PCZ,18,juePqpKQa9y9Hajkh_nbNi6n8gMMnjwZx4v,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,6,1,18,long flat back on right; hand and sleeve sticking out to left,XzSxf5dbkTQbAySyn,/experiment/tangram_D.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
60,MdDNJJYpbb9N43PCZ,18,juePqpKQa9y9Hajkh_nbNi6n8gMMnjwZx4v,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,6,1,18,bit of foot on left,XzSxf5dbkTQbAySyn,/experiment/tangram_D.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
61,8MyTFmXBrQWtRGxhP,19,EsoLweXKskofz2b4M_CW2BZEuR4jTwzSJcA,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,7,1,19,flat back on left; arm sticking out to right; then a foot,XzSxf5dbkTQbAySyn,/experiment/tangram_J.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
62,8MyTFmXBrQWtRGxhP,19,EsoLweXKskofz2b4M_CW2BZEuR4jTwzSJcA,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,7,1,19,shorter than the last one,XzSxf5dbkTQbAySyn,/experiment/tangram_J.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
63,SHDdfjskDbg2XGrej,20,uWDhzxtKHjHTzgqRS_Lw4vwPGbGB67vsBjb,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,8,1,20,kneeling down facing right; arm out to right and a tail on left,XzSxf5dbkTQbAySyn,/experiment/tangram_K.png,speaker,1,XzSxf5dbkTQbAySyn,TRUE
64,Lq8aN3iMHdCgtAthy,21,BicCWGeALKHBN4e6D_oCtqAApvJyr2isa7c,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,9,1,21,walking like frankenstein towards the left,XzSxf5dbkTQbAySyn,/experiment/tangram_A.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
65,j9DwyFqEoPCjn2LdC,22,45s9WL9rgyuWyD3c2_AGJ2iCMboyXvHyuHX,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,10,1,22,crouching down; no limbs except a bit of foot on the right,XzSxf5dbkTQbAySyn,/experiment/tangram_H.png,speaker,1,XzSxf5dbkTQbAySyn,TRUE
66,ZnxzWheA5ajb9k9dF,23,qtHTbesnpoiPCjhxN_DneXhjfz7XGN9pEys,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,11,1,23,looks like its doing a sit up with its legs to left,XzSxf5dbkTQbAySyn,/experiment/tangram_F.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
67,W9ymZqZHNtoRr6Ajo,24,CH6N9FS7wrMXei9qR_m9sBQuJmBse9bnKqr,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,2,24,flat back on left; arm and foot sticking out to right,XzSxf5dbkTQbAySyn,/experiment/tangram_J.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
68,W9ymZqZHNtoRr6Ajo,24,CH6N9FS7wrMXei9qR_m9sBQuJmBse9bnKqr,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,2,24,small foot?,TmGhWCgqKsPPuwW7m,/experiment/tangram_J.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
69,W9ymZqZHNtoRr6Ajo,24,CH6N9FS7wrMXei9qR_m9sBQuJmBse9bnKqr,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,0,2,24,yeah,XzSxf5dbkTQbAySyn,/experiment/tangram_J.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
70,ya9sMNAJejBAXDReY,25,uDG76zHADE2Npu5Ez_zNknNzYoqQTTvTn4t,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,1,2,25,kneeling; both arms out and detached ish arm on right,XzSxf5dbkTQbAySyn,/experiment/tangram_B.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
71,ya9sMNAJejBAXDReY,25,uDG76zHADE2Npu5Ez_zNknNzYoqQTTvTn4t,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,1,2,25,foot out to left,XzSxf5dbkTQbAySyn,/experiment/tangram_B.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
72,83DCDQreyR9YoTPC9,26,ceD976sywFib9hpA6_K8Nq9Gswdr4EdHMqH,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,2,2,26,triangle body; feet right; two things sticking out of head,XzSxf5dbkTQbAySyn,/experiment/tangram_E.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
73,fndGMacTc5Jx3vLr8,27,pRsWaKcJefodm2fnf_rgjXCAfZziWfGXBMY,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,3,2,27,figure skater; leg sticking out to right,XzSxf5dbkTQbAySyn,/experiment/tangram_I.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
74,cwpWSEyT3LngzvdDY,28,5JbBTJ3yJvTkAoP3D_nexqJ9YH8D6G4pZ7Q,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,4,2,28,arms and legs stick out to right; long robe trailing to left,XzSxf5dbkTQbAySyn,/experiment/tangram_G.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
75,jjTg3K7nnHhxCRqSF,29,CHtnhETviwgTN6t9D_v6DESPAkZ8MF6NRZp,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,5,2,29,arm and knee facing right; tail out to left,XzSxf5dbkTQbAySyn,/experiment/tangram_K.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
76,jjTg3K7nnHhxCRqSF,29,CHtnhETviwgTN6t9D_v6DESPAkZ8MF6NRZp,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,5,2,29,like they are kneeling down and praying,XzSxf5dbkTQbAySyn,/experiment/tangram_K.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
77,jjTg3K7nnHhxCRqSF,29,CHtnhETviwgTN6t9D_v6DESPAkZ8MF6NRZp,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,5,2,29,tail pointing up?,TmGhWCgqKsPPuwW7m,/experiment/tangram_K.png,listener,2,XzSxf5dbkTQbAySyn,TRUE
78,jjTg3K7nnHhxCRqSF,29,CHtnhETviwgTN6t9D_v6DESPAkZ8MF6NRZp,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,5,2,29,yeah,XzSxf5dbkTQbAySyn,/experiment/tangram_K.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
79,KhJGCRnqpRW9zprj6,30,22chHLv32Hz7muFm6_scD4Eu96nkYu48XN2,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,6,2,30,legs out to left like its doing a sit up,XzSxf5dbkTQbAySyn,/experiment/tangram_F.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
80,fQHMzzw8XAd87uRFY,31,hCNewe2C98T3AcKXB_EgTnojTtedm5HEFDJ,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,7,2,31,frankenstein,XzSxf5dbkTQbAySyn,/experiment/tangram_A.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
81,GLB7RYddoNBcprSYr,32,iuQhpqJtWpk6QiKML_ZqS4pWMBGLCKphYJn,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,8,2,32,arms in the air like they are annoyed; no legs,XzSxf5dbkTQbAySyn,/experiment/tangram_C.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
82,6rMLozKDmNTjGH4nb,33,uF3yWhFrTm4vm9kvG_cwKHbAm7RtwXxxDSf,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,9,2,33,sitting down with no limbs except a bit of foot on right,XzSxf5dbkTQbAySyn,/experiment/tangram_H.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
83,ys7Tyby5p8Gfu6Jtw,34,NfaTTfBc7vosGSBTE_8jBkhPu9fYSzCE9XP,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,10,2,34,arm to right; knees to right; legs out to left like they are crouching,XzSxf5dbkTQbAySyn,/experiment/tangram_L.png,speaker,2,XzSxf5dbkTQbAySyn,TRUE
84,yejNrPC2WLNy9jBt7,35,5TRDEDeeLgMNkrKto_8YfyNGhdeSDzR557X,3dLr9pks9cHhyLrfW,2021-03-08T20:30:09Z,11,2,35,flat back; arm; sleeve and small foot out to the left,XzSxf5dbkTQbAySyn,/experiment/tangram_D.png,speaker,1,XzSxf5dbkTQbAySyn,TRUE
